title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
HIGHLIGHTS | ENGLAND V AUSTRALIA | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-09T18:05:11Z,5.22,877489,9820,1838,0.0132856366290631
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,Paramount Pictures,Film & Animation,US,2024-11-11T14:00:07Z,2.02,15507151,244281,12779,0.0165768683106265
Captain America: Brave New World | Official Trailer,Marvel Entertainment,Entertainment,US,2024-11-09T21:16:06Z,2.63,13157909,302056,18017,0.0243255216311345
FEEDING STARVING INFLUENCERS FT. DUKE DENNIS,Quenlin Blackwell,Entertainment,US,2024-11-10T20:00:36Z,51.57,3035065,202427,8744,0.069577093077084
"Rebuilding A Flooded $2,000,000 McLaren P1 | Part 15",Tavarish,Autos & Vehicles,US,2024-11-11T17:00:06Z,54.72,1420305,88087,3816,0.0647065243028786
MVP Face 2 Face: Paul vs Tyson | Taylor vs Serrano,Jake Paul,People & Blogs,Unknown,2024-11-11T00:35:35Z,30.15,1964300,36952,8932,0.0233589573894008
I Went UNDERCOVER in Nick Eh 30's Chapter 2 Hide & Seek!,CouRage Gaming,Gaming,Unknown,2024-11-11T22:00:38Z,19.97,987186,20070,627,0.0209656538889327
There's Something LIVING in our Wall,The Royalty Family,People & Blogs,US,2024-11-10T16:41:13Z,24.3,4522189,64247,11382,0.0167239803555313
"Marvel Studios’ Thunderbolts* | D23 Brazil Special Look | In Theaters May 2, 2025",Marvel Entertainment,Entertainment,US,2024-11-09T21:05:18Z,3.68,7709508,156800,8231,0.0214061649589052
Overwatch: Classic | Official Trailer | Overwatch 2,PlayOverwatch,Gaming,US,2024-11-11T17:00:06Z,1.5,1333945,65275,8903,0.0556079898346633
SNEAKiNG SALiSH OUT of her HOUSE!! 😲 Ft/ Jordan Matter,NEN FAM,Film & Animation,US,2024-11-09T15:27:06Z,30.97,3111997,51991,4758,0.0182355574250232
Marvel Animation’s What If…? Season 3 | Official Trailer | Disney+,Marvel Entertainment,Entertainment,US,2024-11-11T17:00:22Z,2.33,3391003,148599,9835,0.0467218696061312
拿柴房造了一个森林衣帽间~I turned my woodshed into a woodland cloakroom.丨Liziqi Channel,李子柒 Liziqi,Howto & Style,CN,2024-11-12T09:00:19Z,14.58,1280756,131365,21490,0.1193474791451299
I Hired A F1 Driver To Beat My Friends At Go Karting,Max Fosh,Comedy,Unknown,2024-11-10T17:15:01Z,14.4,1256248,55405,1041,0.0449322108373505
Road to UNREAL ft. LazarBeam,Lachlan,Gaming,AU,2024-11-09T14:01:51Z,33.45,1233457,35592,603,0.0293443549308974
"Your game has ONE chance to raise my heart rate, or you're banned.",DougDougDoug,Gaming,US,2024-11-10T22:07:03Z,36.57,770742,42427,1592,0.0571124967888087
Kalogeras Sisters GO ROLLERBLADING!,Kalogeras Sisters ,Entertainment,Unknown,2024-11-11T22:00:36Z,28.32,1585568,81631,6472,0.0555655765000302
Stray Kids 『GIANT』 Music Video,Stray Kids Japan Official YouTube,Music,Unknown,2024-11-12T15:00:08Z,2.97,1491750,375520,25871,0.2690739064856712
I built the World's BIGGEST Dog House!,The Ninja Fam!,Travel & Events,US,2024-11-09T13:00:14Z,17.05,2276207,26236,3562,0.01309107651457
Duke Dennis reacts to him and Quenlin BlackWell's cooking show episode!,DukeDennis LIVE,Entertainment,Unknown,2024-11-11T07:15:49Z,48.75,733748,32582,1205,0.0460471442511598
"Air fryers are simpler than you think, but still pretty neat",Technology Connections,Science & Technology,US,2024-11-11T14:28:46Z,19.65,910818,62434,6332,0.0754991666831353
"I Bought the SAME DRESS for $15, $50, $500, $5000",HopeScope,Howto & Style,US,2024-11-09T14:30:19Z,21.6,2193457,80619,3560,0.0383773194550884
She kept her secret lover in the attic for 10 YEARS and no one knew?!,Bailey Sarian,Entertainment,US,2024-11-11T20:00:33Z,29.65,513080,29461,1621,0.060579246901068
SPEND THE WEEK WITH ME | VLOG | MOLLYMAE,MollyMae,People & Blogs,Unknown,2024-11-10T19:16:45Z,36.48,531594,14764,769,0.0292196676410945
250 PRADO AUSTRALIA GOT THE WORST INTERIOR,Ronny Dahl,Travel & Events,AU,2024-11-09T21:00:12Z,8.58,133962,2155,503,0.0198414475746853
First Class on Luxury Disney Cruise,Trek Trendy,Travel & Events,GB,2024-11-10T23:48:23Z,28.98,419322,13220,877,0.0336185556684361
SUPER NINTENDO WORLD Direct (Donkey Kong Country) 11.11.2024,Nintendo of America,Entertainment,US,2024-11-11T22:14:54Z,11.03,816134,34806,2431,0.0456260859123624
MVP Uncut: Paul vs. Tyson | Episode 1,Most Valuable Promotions,Sports,US,2024-11-11T17:50:15Z,9.98,374489,7070,1320,0.0224038623297346
I Built a Dark Academia Gaming Room,Nerdforge,Entertainment,NO,2024-11-11T16:34:16Z,28.85,512423,52279,2368,0.1066443153410366
IT’S TIME!!! Our Big Life Update and VLOGMAS!,Ryland vlogs,People & Blogs,US,2024-11-11T19:14:26Z,37.6,326126,16473,1711,0.0557575906244825
SECRET LEGO PIECES you've NEVER SEEN...,TD BRICKS,Entertainment,US,2024-11-08T17:47:56Z,7.32,2584157,29028,2004,0.0120085583035396
FREE Forgotten Honda CRX Parked 16 Years! Will It RUN AND DRIVE 700 Miles? (Special Guest Tavarish),Vice Grip Garage,Autos & Vehicles,US,2024-11-08T23:30:10Z,182.27,2006476,70419,9937,0.0400483235284149
The worst time of my life...,jacksepticeye,Education,IE,2024-11-10T17:00:08Z,17.57,1985289,193189,12445,0.1035788744107281
Deadpool and Blind Al Have a Big Announcement,Ryan Reynolds,Entertainment,US,2024-11-12T14:53:18Z,0.27,416672,23502,752,0.0582088549266569
Fall 2024 Anime in a Nutshell,Gigguk,Film & Animation,GB,2024-11-09T21:00:27Z,23.2,1014302,64118,2688,0.0658640128876804
Jinx Gameplay Sneak Peek | 2XKO,2XKO,Gaming,Unknown,2024-11-11T16:00:07Z,1.0,526698,20044,889,0.0397438380248263
Game Changer Teaser - Ram Charan | Kiara Advani | Shankar | Dil Raju - Shirish,Dil Raju,Entertainment,IN,2024-11-09T12:34:57Z,1.52,46713303,552388,22390,0.0123043750513638
"My Chemical Romance - “Long Live"": The Black Parade North American Tour",My Chemical Romance,Music,Unknown,2024-11-12T18:00:03Z,1.33,140475,21634,3319,0.1776330307883965
I'm Going To War With Mike Tyson.,Jake Paul,People & Blogs,Unknown,2024-11-12T13:04:25Z,13.25,294132,11363,1566,0.0439564549249996
Gladiator II - Movie Review,Jeremy Jahns,Entertainment,Unknown,2024-11-11T14:00:43Z,6.08,512446,25940,2657,0.055804904321626
"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",KarolGVEVO,Music,US,2024-11-08T00:00:06Z,5.03,20796712,968847,106556,0.0517102415035607
Coming In 2025 | Disney+,Disney Plus,People & Blogs,US,2024-11-12T14:00:09Z,1.97,697830,15257,1252,0.02365762434977
AMP DRESS TO IMPRESS IRL,AMP,Entertainment,US,2024-11-08T20:05:14Z,29.87,2189374,97492,2967,0.0458848054284009
learning to fight on the Lifesteal SMP,rekrap2,Gaming,US,2024-11-09T14:30:30Z,24.02,731072,38563,2101,0.0556224284338615
I Cooked Against Robots,Nick DiGiovanni,People & Blogs,US,2024-11-09T17:00:06Z,16.95,5343643,128435,7959,0.0255245344795675
Resumo: Braga 2-4 Sporting (Liga 24/25 #11),VSPORTS - Liga Portugal,People & Blogs,PT,2024-11-10T21:41:32Z,4.78,1121275,21053,1024,0.0196891931060622
I Built A Secret Man-Cave In My House,Hangtime,Entertainment,US,2024-11-09T15:32:22Z,25.08,643207,23136,1969,0.0390309806951727
"FULL SEGMENT: Sami Zayn and Roman Reigns reunite: SmackDown, Nov. 8, 2024",WWE,Sports,Unknown,2024-11-09T04:05:16Z,11.35,2253258,66606,4111,0.0313843332632126
"LE SSERAFIM - ""Chasing Lightning"" / ""Crazy"" | 2024 EMAs",MTV,Entertainment,US,2024-11-10T22:08:02Z,4.4,654377,54558,4090,0.0896241768888576
I Built My Dog the Safest Base in Minecraft,Bionic,Gaming,US,2024-11-10T00:00:07Z,27.45,775604,18158,1141,0.0248825431534649
Stellar Blade - NieR:Automata DLC Trailer | PS5 Games,PlayStation,Gaming,US,2024-11-11T15:00:24Z,0.72,500633,28949,2172,0.062163301260604
Raising Tadpoles to Frogs (50 Day Evolution),TerraGreen,Pets & Animals,US,2024-11-09T13:00:43Z,14.05,935724,17254,1243,0.0197675810388533
Bridget Jones: Mad About the Boy | Official Trailer,Universal Pictures,Entertainment,US,2024-11-12T16:00:08Z,2.53,125281,2835,266,0.0247523567021336
Donald Trump speaks after winning the 2024 Presidential Election,Fox News,News & Politics,US,2024-11-06T08:09:45Z,25.37,18887830,321927,33353,0.0188099956426969
We Had to Leave our Boat...Here’s Why,Gone with the Wynns,Travel & Events,US,2024-11-10T14:00:15Z,19.7,303175,24363,3054,0.0904329182815205
Tyla - PUSH 2 START (Official Music Video),TylaVEVO,Music,Unknown,2024-11-07T22:00:06Z,2.65,3679986,203686,10436,0.0581855474450174
Princess Kate’s Stunning Arrival at the Royal Albert Hall ‘Festival of Remembrance’ 2024,The King’s Guards Channel (fan account),Travel & Events,GB,2024-11-09T19:37:37Z,2.07,1252403,3726,418,0.0033088390877377
Buttler Smacks 83 off 45 | Highlights | West Indies v England | 2nd T20I,Windies Cricket,Sports,AG,2024-11-11T04:19:58Z,14.02,1406809,17521,572,0.0128610209346115
"Sketch's $20,000,000 House Tour!",The Sketch Real,Gaming,US,2024-11-11T13:55:05Z,18.38,412899,10754,623,0.0275539538724966
My Daughter Survives SEVEN SISTERS,Jordan Matter,Entertainment,US,2024-11-09T15:00:07Z,27.1,6813725,97035,12529,0.0160798975597048
This EV is Sacrilegious..,Auto Focus,Autos & Vehicles,Unknown,2024-11-11T22:26:38Z,18.27,561927,21036,1257,0.0396724129646733
"Donald Trump ‘acted like a man’, says Putin",The Times and The Sunday Times,News & Politics,GB,2024-11-07T20:21:50Z,1.32,4171820,79209,15930,0.0228051545848095
I'M TALKING RIGHT NOW!!!!!!!,JaidenAnimations,Film & Animation,US,2024-11-08T18:00:01Z,1.42,3091640,297434,10303,0.0995384326765082
"Customizing 10,000 Shirts Like Never Before!",How Ridiculous,Sports,AU,2024-11-08T22:00:23Z,21.82,602664,24491,1522,0.0431633547051093
Last to Leave Fruit Snack Factory!,Unspeakable Studios,People & Blogs,US,2024-11-10T16:00:17Z,13.52,784922,12636,1225,0.017659079500893
jschlatt — Santa Claus Is Coming To Town (Official),Schlatt & Co.,Music,US,2024-11-07T16:30:15Z,2.3,2244192,321138,18254,0.1512312671999543
Why American Cars Are So Expensive,CNBC,News & Politics,Unknown,2024-11-10T17:00:30Z,13.88,1142985,13654,5770,0.0169940987851984
Season 01 Battle Pass Trailer | Call of Duty: Warzone & Black Ops 6,Call of Duty,Gaming,US,2024-11-12T15:00:52Z,1.17,216987,9330,1169,0.0483853871430085
How Minecraft Mobs Act when you leave…,EYstreem,Gaming,AU,2024-11-09T01:00:23Z,18.85,1905930,24623,1730,0.0138268456868825
